"state_id","covered","year","threshold","distance_threshold","pc","pc_VT","distance_MA","distance_VT","pc2","effect_size"
"CA",0.14508901636646,2016,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0993837549263029
"CA",0.14508901636646,2017,26,Inf,0.900085261287784,0.736119388796318,1,1,0.736119388796318,0.130592485206193
"CA",0.14508901636646,2018,26,Inf,0.900085261287784,0.736119388796318,1,1,0.736119388796318,0.130592485206193
"CA",0.14508901636646,2019,13,Inf,0.99655190051337,0.870466537726223,1,1,0.870466537726223,0.144588735003612
"CA",0.14508901636646,2020,13,Inf,0.99655190051337,0.870466537726223,1,1,0.870466537726223,0.144588735003612
"CA",0.14508901636646,2021,13,Inf,0.99655190051337,0.870466537726223,1,1,0.870466537726223,0.144588735003612
"CA",0.14508901636646,2022,13,Inf,0.99655190051337,0.870466537726223,1,1,0.870466537726223,0.144588735003612
"MA",0.1036148597,2014,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2015,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2016,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2017,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2018,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2019,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2020,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2021,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2022,26,Inf,0.900085261287784,0.736119388796318,1,1,0.736119388796318,0.0932622080663716
"CT",0.157012052655451,2014,104,20,0.463491584816988,0.40046454709477,0.97546999620893,0.985498081428419,0.394657042841997,0.0727737651206435
"CT",0.157012052655451,2015,104,20,0.463491584816988,0.40046454709477,0.97546999620893,0.985498081428419,0.394657042841997,0.0727737651206435
"CT",0.157012052655451,2016,104,20,0.463491584816988,0.40046454709477,0.97546999620893,0.985498081428419,0.394657042841997,0.0727737651206435
"CT",0.157012052655451,2017,104,20,0.463491584816988,0.40046454709477,0.97546999620893,0.985498081428419,0.394657042841997,0.0727737651206435
"CT",0.157012052655451,2018,104,20,0.463491584816988,0.40046454709477,0.97546999620893,0.985498081428419,0.394657042841997,0.0727737651206435
"CT",0.157012052655451,2019,104,20,0.463491584816988,0.40046454709477,0.97546999620893,0.985498081428419,0.394657042841997,0.0727737651206435
"CT",0.157012052655451,2020,52,20,0.664777098432603,0.550698821311461,0.970499206696899,0.983332133986245,0.541519847143909,0.104378016783238
"CT",0.157012052655451,2021,52,20,0.664777098432603,0.550698821311461,0.970499206696899,0.983332133986245,0.541519847143909,0.104378016783238
"CT",0.157012052655451,2022,52,20,0.664777098432603,0.550698821311461,0.970499206696899,0.983332133986245,0.541519847143909,0.104378016783238
"VT",0.1071215986952,2014,104,20,0.463491584816988,0.40046454709477,0.97546999620893,0.985498081428419,0.394657042841997,0.0496499595473675
"VT",0.1071215986952,2015,52,20,0.664777098432603,0.550698821311461,0.970499206696899,0.983332133986245,0.541519847143909,0.0712119855600565
"VT",0.1071215986952,2016,26,20,0.873068539008601,0.736119388796318,0.969984263223543,0.98121514783782,0.722291494904065,0.0935244976690836
"VT",0.1071215986952,2017,18,20,0.922079018549921,0.776350248503702,0.949887512254503,0.980673442805198,0.761346071022796,0.0987745785903682
"VT",0.1071215986952,2018,18,20,0.922079018549921,0.776350248503702,0.949887512254503,0.980673442805198,0.761346071022796,0.0987745785903682
"VT",0.1071215986952,2019,18,20,0.922079018549921,0.776350248503702,0.949887512254503,0.980673442805198,0.761346071022796,0.0987745785903682
"VT",0.214043911149803,2020,0,Inf,1,1,1,0.999875302073187,0.999875302073187,0.214043911149803
"VT",0.214043911149803,2021,0,Inf,1,1,1,0.999875302073187,0.999875302073187,0.214043911149803
"VT",0.214043911149803,2022,0,Inf,1,1,1,0.999875302073187,0.999875302073187,0.214043911149803
"RI",0.074697823419821,2016,104,15,0.445918904391459,0.40046454709477,0.938486320410716,0.818816477373961,0.327906969765299,0.0333091715797932
"RI",0.074697823419821,2017,104,15,0.445918904391459,0.40046454709477,0.938486320410716,0.818816477373961,0.327906969765299,0.0333091715797932
"RI",0.074697823419821,2018,52,15,0.636692423818802,0.550698821311461,0.929498765350019,0.825323530849496,0.454504695639431,0.0475595382471547
"RI",0.074697823419821,2019,52,15,0.636692423818802,0.550698821311461,0.929498765350019,0.825323530849496,0.454504695639431,0.0475595382471547
"RI",0.074697823419821,2020,52,15,0.636692423818802,0.550698821311461,0.929498765350019,0.825323530849496,0.454504695639431,0.0475595382471547
"RI",0.074697823419821,2021,52,15,0.636692423818802,0.550698821311461,0.929498765350019,0.825323530849496,0.454504695639431,0.0475595382471547
"RI",0.074697823419821,2022,30,15,0.788176405385473,0.700860881044421,0.888669223436167,0.829036145453974,0.581039003320543,0.0588750619531533
