"sample_size","ban_year","att_min","att_max","att_median","specification","year","treated_state"
3,2013,-0.0596139406237461,0.0334718877529622,-0.00560867626390777,"State",2013,"MA"
4,2013,-0.0458085598289717,0.047965601252769,-0.00129869326010365,"State",2013,"MA"
5,2013,-0.0563312490790554,0.0440095371537514,-0.00267273443549676,"State",2013,"MA"
6,2013,-0.048646691515098,0.0522668168345291,-0.00553159178494708,"State",2013,"MA"
7,2013,-0.0405517854490216,0.0593167864938513,0.000475653700819166,"State",2013,"MA"
8,2013,-0.051837983404965,0.0602393755030317,-0.00293665997097712,"State",2013,"MA"
9,2013,-0.0566368489370246,0.0610906635686461,-0.0055972285535578,"State",2013,"MA"
10,2013,-0.0582237391312184,0.067415886113388,-0.00435494799789149,"State",2013,"MA"
3,2013,-0.0306088440177331,0.0149621486073686,0.00101935428486288,"State Pooled",2013,"MA"
4,2013,-0.0273715438405189,0.0165574371541782,0.00201423577681197,"State Pooled",2013,"MA"
5,2013,-0.0277746972218108,0.0166903485713068,0.00182539905597164,"State Pooled",2013,"MA"
6,2013,-0.0262626081058473,0.0163968980200986,0.00193031590888922,"State Pooled",2013,"MA"
7,2013,-0.0267417177462259,0.0166113411580206,0.0021270346824826,"State Pooled",2013,"MA"
8,2013,-0.0262819390542215,0.0170244798391986,0.00250967074955235,"State Pooled",2013,"MA"
9,2013,-0.0262666895675675,0.0174749090730097,0.00160754774651602,"State Pooled",2013,"MA"
10,2013,-0.0262699870497125,0.017142509872791,0.00171263290461255,"State Pooled",2013,"MA"
3,2014,-0.069364489415213,0.062681114535361,-0.00291861063737707,"State",2014,"CA"
4,2014,-0.067891218180442,0.0516466991649552,-0.0106592728850495,"State",2014,"CA"
5,2014,-0.0718360280416782,0.0501948672068342,-0.010178120080388,"State",2014,"CA"
6,2014,-0.0631635795438971,0.0561249118349961,-0.00354495878042426,"State",2014,"CA"
7,2014,-0.0560698195290782,0.0417055703112176,-0.00431096792912608,"State",2014,"CA"
8,2014,-0.0569004630933662,0.0548088829333839,-0.00497379598067373,"State",2014,"CA"
9,2014,-0.051032082106791,0.0543480297964387,-0.00322416578555156,"State",2014,"CA"
10,2014,-0.0561464411528421,0.0528521268456309,-0.0066583906017346,"State",2014,"CA"
3,2014,-0.0431446871271527,0.0242240445384408,0.00296074347592131,"State Pooled",2014,"CA"
4,2014,-0.0403256034326867,0.0223045802893867,0.00269537257746431,"State Pooled",2014,"CA"
5,2014,-0.0413992841979368,0.0228827997070565,0.00244524476061137,"State Pooled",2014,"CA"
6,2014,-0.0413240344382882,0.0212785742526829,0.000702395408641224,"State Pooled",2014,"CA"
7,2014,-0.0409622231023569,0.0222763579155498,0.000201228257311457,"State Pooled",2014,"CA"
8,2014,-0.0400514839470591,0.0218429094671751,-0.00190791663038176,"State Pooled",2014,"CA"
9,2014,-0.0398450397308806,0.0221526007331491,-0.00101171639612158,"State Pooled",2014,"CA"
10,2014,-0.0410535142105117,0.0216480513888875,-0.000796127492309991,"State Pooled",2014,"CA"
3,2011,-0.0620637216575031,0.0529278651551654,-0.00114731634726297,"State",2011,"CT"
4,2011,-0.0527122189065683,0.0469193079590453,-0.00333980079924278,"State",2011,"CT"
5,2011,-0.0333684886034028,0.0695306295336487,0.000957511046690907,"State",2011,"CT"
6,2011,-0.046437888689944,0.0666639767329362,-0.000914477553216328,"State",2011,"CT"
7,2011,-0.051669969705993,0.0702136933732389,-0.000269093490542438,"State",2011,"CT"
8,2011,-0.0510234583979354,0.0697662737620179,6.57413323867983e-05,"State",2011,"CT"
9,2011,-0.0465153357618972,0.073432246515568,-0.00101169619097935,"State",2011,"CT"
10,2011,-0.0486724899999898,0.0695162398564648,-0.000561472580070825,"State",2011,"CT"
3,2011,-0.0267041579268922,0.0268313737867282,-0.00408111965622647,"State Pooled",2011,"CT"
4,2011,-0.0270482593160296,0.028857049645228,-0.0029447456745853,"State Pooled",2011,"CT"
5,2011,-0.0290463027575501,0.0305638915596227,-0.0018329852899741,"State Pooled",2011,"CT"
6,2011,-0.0294004083632158,0.0318320139895541,-0.00175064000507554,"State Pooled",2011,"CT"
7,2011,-0.029291926103937,0.0335098143134835,-0.000997570683323266,"State Pooled",2011,"CT"
8,2011,-0.0293168421069605,0.0343923994831874,0.000229983999765203,"State Pooled",2011,"CT"
9,2011,-0.0280341172298448,0.0344323860986427,0.000443673928529539,"State Pooled",2011,"CT"
10,2011,-0.0273929192822628,0.0366449690354828,0.00141197107396837,"State Pooled",2011,"CT"
3,2014,-0.0699143900228318,0.0503321404205775,-0.00417379392575559,"State",2014,"RI"
4,2014,-0.0831069590970543,0.0599871229371537,-0.0129312819266567,"State",2014,"RI"
5,2014,-0.0729730014497599,0.0473820971968668,-0.00812887827963816,"State",2014,"RI"
6,2014,-0.0629190100884103,0.0592878363737871,-0.00959059284138007,"State",2014,"RI"
7,2014,-0.0578402269811836,0.0439745322673843,-0.00789505570964778,"State",2014,"RI"
8,2014,-0.0581902421479245,0.0546881932513708,-0.00481141454060074,"State",2014,"RI"
9,2014,-0.0754749399779068,0.0413741354283329,-0.00550943226926868,"State",2014,"RI"
10,2014,-0.0670642271608089,0.0433863884578588,-0.0071165321639431,"State",2014,"RI"
3,2014,-0.0459405872830379,0.0247557406670013,0.000661721811363891,"State Pooled",2014,"RI"
4,2014,-0.0454560372110098,0.0231039964984334,0.00113070481404742,"State Pooled",2014,"RI"
5,2014,-0.0445667318931591,0.0235195065942776,0.0008773930740842,"State Pooled",2014,"RI"
6,2014,-0.0442940454520673,0.0228729332456287,0.000700401015802322,"State Pooled",2014,"RI"
7,2014,-0.0451083946289392,0.0244867570813495,-0.000926615836896084,"State Pooled",2014,"RI"
8,2014,-0.0436246606277522,0.0244389487986384,-0.000762002159131939,"State Pooled",2014,"RI"
9,2014,-0.0435814729477262,0.0252215482309916,-0.000165852944459709,"State Pooled",2014,"RI"
10,2014,-0.0443457652273042,0.0248849731216749,-0.00148135338419289,"State Pooled",2014,"RI"
3,2012,-0.0432214621635704,0.0764401185891927,0.000289882545616694,"State",2012,"VT"
4,2012,-0.0448058881118697,0.0432641606857406,0.00120124962341502,"State",2012,"VT"
5,2012,-0.0520309611483483,0.0334221241141193,-0.00689265697633072,"State",2012,"VT"
6,2012,-0.0435267486450718,0.0506771079511493,-0.00709251669331504,"State",2012,"VT"
7,2012,-0.0474167694310449,0.0605556301207801,-0.00577974874220159,"State",2012,"VT"
8,2012,-0.0529392122662397,0.0650566918949506,-0.00495465724303286,"State",2012,"VT"
9,2012,-0.0550237416567986,0.0610968594629539,-0.00593206448760368,"State",2012,"VT"
10,2012,-0.0544251659590475,0.0632688674937451,-0.00479235867267786,"State",2012,"VT"
3,2012,-0.0293947734965527,0.0169464166701954,-0.0023897582813172,"State Pooled",2012,"VT"
4,2012,-0.0290907502711715,0.0178929708954393,-0.00148494128464616,"State Pooled",2012,"VT"
5,2012,-0.0287445993143324,0.0195245518627376,0.000614797131202122,"State Pooled",2012,"VT"
6,2012,-0.0272976000906311,0.0213911650077973,0.00133516741880157,"State Pooled",2012,"VT"
7,2012,-0.0275385542269494,0.0228448779120856,0.00173785698062964,"State Pooled",2012,"VT"
8,2012,-0.0287736564769519,0.0267139821478891,0.00283409929013783,"State Pooled",2012,"VT"
9,2012,-0.0289174214505145,0.0280962413960916,0.00261542911525344,"State Pooled",2012,"VT"
10,2012,-0.0297656366367536,0.0290554896804537,0.00247253871927554,"State Pooled",2012,"VT"
